Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.05     0.00     1780     0.00     0.00  tinyxml2::StrPair::~StrPair()
  0.00      0.05     0.00     1694     0.00     0.03  pxr::Engine::Ticker::doTicks(std::chrono::duration<long, std::ratio<1l, 1000000000l> >, std::chrono::duration<long, std::ratio<1l, 1000000000l> >)
  0.00      0.05     0.00     1666     0.00     0.00  tinyxml2::StrPair::Set(char*, char*, int)
  0.00      0.05     0.00     1553     0.00     0.00  tinyxml2::XMLElement::FindAttribute(char const*) const
  0.00      0.05     0.00     1504     0.00     0.00  pxr::Engine::RealClock::getNow()
  0.00      0.05     0.00     1423     0.00     0.00  std::unique_ptr<pxr::App, std::default_delete<pxr::App> >::get() const
  0.00      0.05     0.00     1423     0.00     0.00  std::unique_ptr<pxr::App, std::default_delete<pxr::App> >::operator->() const
  0.00      0.05     0.00     1423     0.00     0.00  std::__uniq_ptr_impl<pxr::App, std::default_delete<pxr::App> >::_M_ptr() const
  0.00      0.05     0.00     1423     0.00     0.00  std::_Head_base<0ul, pxr::App*, false>::_M_head(std::_Head_base<0ul, pxr::App*, false> const&)
  0.00      0.05     0.00     1423     0.00     0.00  std::_Tuple_impl<0ul, pxr::App*, std::default_delete<pxr::App> >::_M_head(std::_Tuple_impl<0ul, pxr::App*, std::default_delete<pxr::App> > const&)
  0.00      0.05     0.00     1423     0.00     0.00  pxr::App* const& std::__get_helper<0ul, pxr::App*, std::default_delete<pxr::App> >(std::_Tuple_impl<0ul, pxr::App*, std::default_delete<pxr::App> > const&)
  0.00      0.05     0.00     1423     0.00     0.00  std::tuple_element<0ul, std::tuple<pxr::App*, std::default_delete<pxr::App> > >::type const& std::get<0ul, pxr::App*, std::default_delete<pxr::App> >(std::tuple<pxr::App*, std::default_delete<pxr::App> > const&)
  0.00      0.05     0.00     1422     0.00     0.00  std::__detail::_Hash_code_base<int, std::pair<int const, pxr::gfx::SpriteSheet>, std::__detail::_Select1st, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_h2() const
  0.00      0.05     0.00     1421     0.00     0.00  std::_Hashtable<int, std::pair<int const, pxr::gfx::SpriteSheet>, std::allocator<std::pair<int const, pxr::gfx::SpriteSheet> >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_bucket_index(int const&, unsigned long) const
  0.00      0.05     0.00     1421     0.00     0.00  std::__detail::_Hash_code_base<int, std::pair<int const, pxr::gfx::SpriteSheet>, std::__detail::_Select1st, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_bucket_index(int const&, unsigned long, unsigned long) const
